sim_day,date,year,month,day,jrr,savage,lsen,occ,pat,por_nat,below_por,lfalls_nat
25535,2039-08-29,2039,8,29,23,2,3,29,15,580,214,974
25536,2039-08-30,2039,8,30,21,2,2,18,12,558,174,887
25537,2039-08-31,2039,8,31,19,2,2,13,11,511,148,840
25538,2039-09-01,2039,9,1,18,2,2,11,11,395,128,632
25539,2039-09-02,2039,9,2,18,2,2,9,9,374,119,590
25540,2039-09-03,2039,9,3,14,2,2,7,8,360,116,511
25541,2039-09-04,2039,9,4,11,0,21,5,48,358,117,723
25542,2039-09-05,2039,9,5,32,2,54,320,180,420,392,1183
25543,2039-09-06,2039,9,6,152,7,47,509,177,882,1212,1890
25544,2039-09-07,2039,9,7,144,12,14,631,88,1474,1370,1975
25545,2039-09-08,2039,9,8,91,9,16,214,96,2761,957,2946
25546,2039-09-09,2039,9,9,73,7,18,103,141,3485,510,4033
25547,2039-09-10,2039,9,10,66,6,25,641,170,3725,748,5038
25548,2039-09-11,2039,9,11,60,5,10,235,91,3799,438,4495
25549,2039-09-12,2039,9,12,54,4,6,99,58,3463,312,4395
25550,2039-09-13,2039,9,13,48,4,6,67,43,2909,259,3996
25551,2039-09-14,2039,9,14,45,4,5,46,39,2092,214,2998
25552,2039-09-15,2039,9,15,43,3,12,35,84,1755,195,2323
25553,2039-09-16,2039,9,16,39,3,220,534,2199,2260,1777,4493
25554,2039-09-17,2039,9,17,51,4,60,1658,1161,3422,4661,6363
25555,2039-09-18,2039,9,18,50,4,20,632,387,3209,2871,6858
25556,2039-09-19,2039,9,19,47,3,17,338,181,2965,1373,5450
25557,2039-09-20,2039,9,20,42,3,13,183,142,2231,735,4229
25558,2039-09-21,2039,9,21,39,3,60,631,343,1959,1167,4462
25559,2039-09-22,2039,9,22,43,3,41,1373,252,2121,1991,4493
25560,2039-09-23,2039,9,23,39,2,20,696,202,1819,1714,3986
25561,2039-09-24,2039,9,24,39,2,18,397,146,1754,1175,3269
25562,2039-09-25,2039,9,25,38,2,16,218,141,1663,730,2695
25563,2039-09-26,2039,9,26,34,2,13,182,126,1516,594,2334
25564,2039-09-27,2039,9,27,30,2,12,161,118,1456,555,2221
25565,2039-09-28,2039,9,28,29,2,20,490,125,1638,1355,2295
25566,2039-09-29,2039,9,29,28,2,14,381,117,1729,1040,2627
25567,2039-09-30,2039,9,30,62,3,76,7100,335,6951,20742,9782
25568,2039-10-01,2039,10,1,60,4,24,2195,220,7346,5200,15087
25569,2039-10-02,2039,10,2,53,4,20,1153,180,6951,3821,10601
25570,2039-10-03,2039,10,3,47,4,18,491,130,6034,1709,8662
25571,2039-10-04,2039,10,4,47,4,20,385,155,4711,1459,7271
25572,2039-10-05,2039,10,5,56,4,26,560,203,4302,2043,6600
25573,2039-10-06,2039,10,6,54,4,18,481,146,3899,1613,5988
25574,2039-10-07,2039,10,7,51,4,18,324,130,3429,1454,5462
25575,2039-10-08,2039,10,8,48,4,15,267,126,2825,1187,4745
25576,2039-10-09,2039,10,9,45,3,13,241,116,2495,1019,3909
25577,2039-10-10,2039,10,10,62,6,27,324,181,2466,1742,3961
25578,2039-10-11,2039,10,11,76,6,18,370,131,2443,1948,4420
25579,2039-10-12,2039,10,12,71,6,16,338,117,2423,1564,4259
25580,2039-10-13,2039,10,13,64,5,14,267,108,2412,1386,3739
25581,2039-10-14,2039,10,14,66,6,13,251,106,2318,1108,3419
25582,2039-10-15,2039,10,15,60,5,13,214,100,2251,1040,3400
25583,2039-10-16,2039,10,16,56,5,11,177,97,1977,989,3125
25584,2039-10-17,2039,10,17,54,5,11,166,96,1887,877,2987
25585,2039-10-18,2039,10,18,51,5,14,170,100,1874,846,2918
25586,2039-10-19,2039,10,19,49,5,9,156,91,1830,740,2773
25587,2039-10-20,2039,10,20,49,5,15,147,96,1813,711,2757
25588,2039-10-21,2039,10,21,49,5,14,198,93,1818,760,2757
25589,2039-10-22,2039,10,22,49,5,9,155,86,1795,675,2710
25590,2039-10-23,2039,10,23,49,5,8,142,79,1795,629,2498
25591,2039-10-24,2039,10,24,49,5,8,126,76,1604,559,2453
25592,2039-10-25,2039,10,25,51,5,7,114,71,1576,540,2418
25593,2039-10-26,2039,10,26,49,5,7,106,72,1529,499,2332
25594,2039-10-27,2039,10,27,49,5,7,99,66,1434,475,2215
25595,2039-10-28,2039,10,28,49,4,7,96,63,1409,453,2208
25596,2039-10-29,2039,10,29,51,4,7,91,61,1388,427,2043
25597,2039-10-30,2039,10,30,51,4,7,86,60,1341,421,1913
25598,2039-10-31,2039,10,31,49,4,6,84,58,1322,413,1867
25599,2039-11-01,2039,11,1,49,4,6,82,55,1304,390,1852
25600,2039-11-02,2039,11,2,49,4,8,78,58,1301,422,1795
25601,2039-11-03,2039,11,3,64,5,9,112,60,1330,494,1900
25602,2039-11-04,2039,11,4,75,9,7,166,57,1361,511,1936
25603,2039-11-05,2039,11,5,73,9,6,120,55,1369,472,1960
