sim_day,date,year,month,day,jrr,savage,lsen,occ,pat,por_nat,below_por,lfalls_nat
234,2039-05-22,2039,5,22,86,21,3,2,16,1311,261,1610
235,2039-05-23,2039,5,23,118,29,15,87,36,1343,389,1861
236,2039-05-24,2039,5,24,122,30,7,90,31,1380,422,1739
237,2039-05-25,2039,5,25,109,28,8,73,35,1351,393,1780
238,2039-05-26,2039,5,26,101,28,5,60,27,1302,343,1687
239,2039-05-27,2039,5,27,92,23,5,48,24,1247,297,1607
240,2039-05-28,2039,5,28,88,21,3,40,22,1197,276,1518
241,2039-05-29,2039,5,29,79,19,3,31,18,1144,243,1464
242,2039-05-30,2039,5,30,69,18,3,26,17,1094,217,1404
243,2039-05-31,2039,5,31,68,18,3,19,17,1062,209,1336
244,2039-06-01,2039,6,1,64,15,3,13,16,1071,217,1332
245,2039-06-02,2039,6,2,62,15,3,12,15,1028,190,1237
246,2039-06-03,2039,6,3,58,15,3,12,15,1017,245,1191
247,2039-06-04,2039,6,4,58,14,3,12,15,1074,283,1194
248,2039-06-05,2039,6,5,53,13,3,12,14,1070,276,1238
249,2039-06-06,2039,6,6,51,12,3,12,13,1036,248,1237
250,2039-06-07,2039,6,7,47,12,2,11,13,1001,237,1207
251,2039-06-08,2039,6,8,45,11,2,11,12,924,214,1162
252,2039-06-09,2039,6,9,45,10,2,11,11,887,206,1104
253,2039-06-10,2039,6,10,45,7,2,10,11,855,196,1052
254,2039-06-11,2039,6,11,41,7,2,10,10,827,191,1024
255,2039-06-12,2039,6,12,41,7,2,10,10,800,190,983
256,2039-06-13,2039,6,13,39,6,2,10,10,775,141,946
257,2039-06-14,2039,6,14,20,6,4,10,16,753,203,977
258,2039-06-15,2039,6,15,21,6,7,42,16,757,213,1045
259,2039-06-16,2039,6,16,22,6,3,33,12,714,210,965
260,2039-06-17,2039,6,17,43,6,3,25,14,686,213,906
261,2039-06-18,2039,6,18,60,9,3,19,14,723,224,869
262,2039-06-19,2039,6,19,64,10,3,10,11,731,215,866
263,2039-06-20,2039,6,20,60,10,10,10,21,734,210,947
264,2039-06-21,2039,6,21,56,10,11,29,32,739,210,1054
265,2039-06-22,2039,6,22,51,9,4,42,19,724,203,991
266,2039-06-23,2039,6,23,47,7,3,32,16,699,196,946
267,2039-06-24,2039,6,24,43,6,3,23,14,675,186,904
268,2039-06-25,2039,6,25,41,6,3,15,13,663,161,863
269,2039-06-26,2039,6,26,39,5,3,8,12,653,148,816
270,2039-06-27,2039,6,27,26,4,3,7,12,632,128,771
271,2039-06-28,2039,6,28,26,3,3,7,11,604,107,721
272,2039-06-29,2039,6,29,30,3,3,7,11,596,110,701
273,2039-06-30,2039,6,30,51,6,3,23,10,592,117,726
274,2039-07-01,2039,7,1,53,9,3,15,10,560,107,712
275,2039-07-02,2039,7,2,51,9,4,11,10,530,107,682
276,2039-07-03,2039,7,3,47,9,4,9,11,508,160,658
277,2039-07-04,2039,7,4,45,9,3,9,7,501,170,625
278,2039-07-05,2039,7,5,36,6,3,8,7,488,153,612
279,2039-07-06,2039,7,6,30,6,1,8,7,470,120,604
280,2039-07-07,2039,7,7,26,5,1,9,7,463,107,586
281,2039-07-08,2039,7,8,26,4,1,9,7,450,103,565
282,2039-07-09,2039,7,9,26,4,1,0,7,437,99,546
283,2039-07-10,2039,7,10,26,4,1,0,7,422,97,527
284,2039-07-11,2039,7,11,30,4,1,0,7,404,95,502
285,2039-07-12,2039,7,12,30,4,1,0,7,392,91,484
286,2039-07-13,2039,7,13,28,3,1,14,7,380,86,476
287,2039-07-14,2039,7,14,26,3,1,12,5,368,86,463
288,2039-07-15,2039,7,15,28,3,1,8,5,353,82,443
289,2039-07-16,2039,7,16,24,3,1,6,4,343,72,426
290,2039-07-17,2039,7,17,24,2,1,6,4,331,69,416
291,2039-07-18,2039,7,18,24,2,1,0,3,323,66,408
292,2039-07-19,2039,7,19,24,2,1,14,3,317,66,399
293,2039-07-20,2039,7,20,24,2,1,24,3,322,70,404
294,2039-07-21,2039,7,21,24,2,1,18,3,315,69,401
295,2039-07-22,2039,7,22,24,2,2,106,9,330,103,419
296,2039-07-23,2039,7,23,12,2,2,65,5,353,121,414
297,2039-07-24,2039,7,24,23,2,2,66,3,370,135,417
298,2039-07-25,2039,7,25,28,2,2,40,3,425,127,417
299,2039-07-26,2039,7,26,43,4,4,50,5,468,135,478
300,2039-07-27,2039,7,27,39,4,3,37,3,484,126,484
301,2039-07-28,2039,7,28,36,3,1,22,3,472,115,486
302,2039-07-29,2039,7,29,53,6,1,27,3,476,119,514
303,2039-07-30,2039,7,30,71,8,1,28,3,485,109,531
304,2039-07-31,2039,7,31,61,6,1,16,1,483,95,532
305,2039-08-01,2039,8,1,64,6,1,10,1,501,115,536
306,2039-08-02,2039,8,2,54,6,0,12,1,514,105,543
307,2039-08-03,2039,8,3,49,5,0,10,1,492,96,550
308,2039-08-04,2039,8,4,43,4,0,8,1,466,82,547
