date_time,gw_va_shen,p_va_shen,sw_va_shen,r_va_shen,gw_va_nova,p_va_nova,sw_va_nova,r_va_nova,gw_md_cent,p_md_cent,sw_md_cent,r_md_cent,gw_md_west,p_md_west,sw_md_west,r_md_west,region_md_cent,region_md_west
2038-08-09,3,0,2,1,1,0,3,1,1,1,0,1,1,1,0,1,0,0
2038-08-10,3,0,2,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
2038-08-11,3,0,2,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
2038-08-12,3,0,2,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0
2038-08-13,3,0,2,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0
2038-08-14,3,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0
2038-08-15,3,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0
2038-08-16,3,0,1,1,2,0,0,1,1,1,1,1,1,1,0,1,1,0
2038-08-17,3,0,1,1,3,0,0,1,1,1,1,1,1,1,0,1,1,0
2038-08-18,3,0,0,1,3,0,0,1,1,1,1,1,1,1,0,1,1,0
2038-08-19,3,0,0,1,3,0,0,1,1,1,1,1,1,1,0,1,1,0
2038-08-20,3,0,0,1,3,0,0,1,1,1,1,1,1,1,0,1,1,0
2038-08-21,3,0,0,1,3,0,0,1,1,1,1,1,1,1,0,1,1,0
2038-08-22,3,0,0,1,3,0,0,1,1,1,1,1,1,1,0,1,1,0
2038-08-23,3,0,0,1,3,0,0,1,1,1,1,1,1,1,0,1,1,0
2038-08-24,3,0,0,1,3,0,1,1,1,1,1,1,1,1,0,1,1,0
2038-08-25,3,0,0,1,3,0,3,1,1,1,1,1,1,1,0,1,1,0
2038-08-26,3,0,0,1,3,0,3,1,1,1,1,1,1,1,0,1,1,0
2038-08-27,3,0,1,1,3,0,3,1,1,1,1,1,1,1,0,1,1,0
2038-08-28,3,0,1,1,3,0,3,1,1,1,0,1,1,1,0,1,0,0
2038-08-29,3,0,1,1,3,0,3,1,1,1,0,1,1,1,0,1,0,0
2038-08-30,3,0,1,1,3,0,3,1,1,1,0,1,1,1,0,1,0,0
2038-08-31,3,0,1,1,3,0,3,1,1,1,1,1,1,1,0,1,1,0
2038-09-01,1,0,1,1,3,0,3,1,1,1,1,1,1,1,0,1,1,0
2038-09-02,1,0,2,1,3,0,3,1,1,1,1,1,1,1,0,1,1,0
2038-09-03,1,0,3,1,3,0,3,1,1,1,1,1,1,1,0,1,1,0
2038-09-04,1,0,3,1,3,0,3,1,1,1,1,1,1,1,0,1,1,0
2038-09-05,1,0,3,1,3,0,3,1,1,1,1,1,1,1,0,1,1,0
2038-09-06,1,0,3,1,3,0,3,1,1,1,1,1,1,1,0,1,1,0
2038-09-07,1,0,3,1,3,0,3,1,1,1,1,1,1,1,0,1,1,0
2038-09-08,1,0,3,1,3,0,1,1,1,1,1,1,1,1,0,1,1,0
2038-09-09,1,0,3,1,3,0,1,1,1,1,1,1,1,1,0,1,1,0
2038-09-10,1,0,3,1,3,0,1,1,1,1,1,1,1,1,0,1,1,1
2038-09-11,1,0,3,1,3,0,1,1,1,1,1,1,1,1,0,1,1,1
2038-09-12,1,0,3,1,3,0,1,1,1,1,1,1,1,1,0,1,1,0
2038-09-13,1,0,2,1,3,0,1,1,1,1,1,1,1,1,0,1,1,0
2038-09-14,1,0,1,1,3,0,1,1,1,1,1,1,1,1,0,1,1,0
2038-09-15,1,0,1,1,3,0,2,1,1,1,1,1,1,1,0,1,1,0
2038-09-16,1,0,1,1,3,0,3,1,1,1,1,1,1,1,0,1,1,0
2038-09-17,1,0,2,1,3,0,3,1,1,1,2,1,1,1,0,1,1,0
2038-09-18,1,0,2,1,3,0,1,1,1,1,2,1,1,1,0,1,1,0
2038-09-19,1,0,3,1,3,0,1,1,1,1,3,1,1,1,0,1,1,0
2038-09-20,1,0,3,1,3,0,1,1,1,1,3,1,1,1,0,1,1,0
2038-09-21,1,0,3,1,3,0,1,1,1,1,3,1,1,1,0,1,1,0
2038-09-22,1,0,3,1,3,0,0,1,1,1,3,1,1,1,0,1,1,0
2038-09-23,1,0,3,1,3,0,0,1,1,1,3,1,1,1,0,1,1,0
2038-09-24,1,0,3,1,3,0,0,1,1,1,3,1,1,1,0,1,1,0
2038-09-25,1,0,3,1,3,0,0,1,1,1,3,1,1,1,0,1,1,0
2038-09-26,1,0,3,1,3,0,0,1,1,1,3,1,1,1,0,1,1,0
2038-09-27,1,0,3,1,3,0,0,1,1,1,3,1,1,1,0,1,1,0
2038-09-28,1,0,3,1,3,0,0,1,1,1,3,1,1,1,1,1,1,1
2038-09-29,1,0,3,1,3,0,1,1,1,1,3,1,1,1,1,1,1,1
2038-09-30,1,0,3,1,3,0,2,1,1,1,3,1,1,1,1,1,1,1
2038-10-01,0,3,3,2,2,3,3,2,2,2,3,2,2,2,1,2,2,1
2038-10-02,0,3,3,2,2,3,3,2,2,2,3,2,2,2,1,2,2,1
2038-10-03,0,3,3,2,2,3,3,2,2,2,3,2,2,2,1,2,2,1
2038-10-04,0,3,3,2,2,3,3,2,2,2,3,2,2,2,1,2,2,1
2038-10-05,0,3,3,2,2,3,3,2,2,2,3,2,2,2,1,2,2,1
2038-10-06,0,3,3,2,2,3,3,2,2,2,3,2,2,2,1,2,2,1
2038-10-07,0,3,3,2,2,3,3,2,2,2,3,2,2,2,1,2,2,1
2038-10-08,0,2,3,2,2,2,0,2,2,2,3,2,2,2,1,2,2,1
2038-10-09,0,1,3,2,2,0,0,2,2,2,3,2,2,2,1,2,2,1
2038-10-10,0,2,3,2,2,0,0,2,2,2,3,2,2,2,1,2,2,1
2038-10-11,0,2,3,2,2,1,0,2,2,2,3,2,2,2,1,2,2,1
